epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,58,0.22257,63.00000,42.00000,183
1,59,0.22078,75.00000,42.00000,202
1,60,0.22096,85.00000,35.00000,209
1,61,0.21864,75.00000,42.00000,202
1,62,0.23275,61.00000,48.00000,189
1,63,0.21586,68.00000,48.00000,200
1,64,0.21843,65.00000,42.00000,187
1,65,0.22594,53.00000,54.00000,182
2,0,0.21848,77.00000,42.00000,217
2,1,0.21538,75.00000,42.00000,207
2,2,0.21978,65.00000,48.00000,196
2,3,0.22183,77.00000,42.00000,207
2,4,0.21094,69.00000,42.00000,195
2,5,0.22307,63.00000,48.00000,193
2,6,0.21416,64.00000,48.00000,193
2,7,0.22417,61.00000,42.00000,182
2,8,0.21856,75.00000,42.00000,204
2,9,0.22239,62.00000,48.00000,191
2,10,0.23158,44.00000,54.00000,174
2,11,0.22082,76.00000,42.00000,205
2,12,0.21500,57.00000,48.00000,182
2,13,0.21790,62.00000,42.00000,179
2,14,0.21267,61.00000,48.00000,189
2,15,0.20859,65.00000,42.00000,188
2,16,0.21046,67.00000,42.00000,191
2,17,0.21048,69.00000,42.00000,194
2,18,0.21492,86.00000,36.00000,213
2,19,0.20835,59.00000,48.00000,186
2,20,0.20979,96.00000,35.00000,230
